onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	13.306	0	1	2	"Low"	"Non-Logic"	"Problem"
21.986	4.000	0	1	2	"Low"	"Non-Logic"	"Choice"
31.998	16.277	1	1	4	"High"	"Logic"	"Problem"
51.989	2.380	1	1	4	"High"	"Logic"	"Choice"
65.995	18.499	0	1	1	"Low"	"Logic"	"Problem"
93.993	2.001	0	1	1	"Low"	"Logic"	"Choice"
108.000	14.899	0	1	3	"High"	"Non-Logic"	"Problem"
131.986	1.258	0	1	3	"High"	"Non-Logic"	"Choice"
139.992	24.845	0	1	4	"High"	"Logic"	"Problem"
173.990	2.129	0	1	4	"High"	"Logic"	"Choice"
187.997	30.000	1	1	4	"High"	"Non-Logic"	"Problem"
221.995	1.530	1	1	4	"High"	"Non-Logic"	"Choice"
229.985	11.118	1	1	1	"Low"	"Non-Logic"	"Problem"
245.997	1.169	1	1	1	"Low"	"Non-Logic"	"Choice"
260.004	21.971	0	1	1	"Low"	"Logic"	"Problem"
291.996	1.685	0	1	1	"Low"	"Logic"	"Choice"
4.000	26.564	0	2	2	"Low"	"Logic"	"Problem"
33.986	4.000	0	2	2	"Low"	"Logic"	"Choice"
43.998	15.628	1	2	1	"Low"	"Non-Logic"	"Problem"
69.990	1.355	1	2	1	"Low"	"Non-Logic"	"Choice"
83.997	30.000	0	2	3	"High"	"Non-Logic"	"Problem"
117.995	1.928	0	2	3	"High"	"Non-Logic"	"Choice"
132.002	12.452	1	2	3	"High"	"Logic"	"Problem"
153.998	1.919	1	2	3	"High"	"Logic"	"Choice"
161.988	18.873	1	2	4	"High"	"Non-Logic"	"Problem"
190.002	2.192	1	2	4	"High"	"Non-Logic"	"Choice"
204.009	30.000	0	2	2	"Low"	"Logic"	"Problem"
237.990	2.167	0	2	2	"Low"	"Logic"	"Choice"
251.997	24.642	1	2	3	"High"	"Logic"	"Problem"
279.995	1.811	1	2	3	"High"	"Logic"	"Choice"
288.017	11.109	0	2	2	"Low"	"Non-Logic"	"Problem"
309.998	4.000	0	2	2	"Low"	"Non-Logic"	"Choice"
319.993	28.727	0	2	4	"High"	"Logic"	"Problem"
358.002	1.666	0	2	4	"High"	"Logic"	"Choice"
